Organization Name,Organization Name URL,Estimated Revenue Range,Industries,CB Rank (Company),Description,Operating Status,Founded Date,Company Type,Exit Date,Twitter,Number of Articles,Hub Tags,Number of Lead Investments,LinkedIn,Actively Hiring,Facebook,Investor Type,Number of Sub-Orgs,Contact Email,Investment Stage,Number of Investments,Headquarters Location,Phone Number,Full Description,Number of Exits (IPO),Website,Number of Portfolio Organizations,Industry Groups,Number of Exits,Last Funding Type,Number of Employees,Funding Status,Number of Founders,Last Funding Date,Last Equity Funding Type,Number of Funding Rounds,Valuation at IPO (in USD),Last Funding Amount (in USD),Last Equity Funding Amount (in USD),Total Equity Funding Amount (in USD),Total Funding Amount (in USD),Acquisition Status,Number of Lead Investors,Acquired by,Acquired by URL,Number of Acquisitions,Acquisition Type,Price (in USD),Announced Date,Money Raised at IPO (in USD),IPO Status,Last Layoff Mention Date,Growth Category,Last Leadership Hiring Date,IPO Date,Numerical Revenue Range,IPO Date - Founded Date,Exit Date - Founding Date,IPO Date - Last_Funding_Date,Valuation_at_IPO / Last_Funding,Valuation_at_IPO_per_Last_Equity_Funding,Valuation_at_IPO / Total_Funding,Valuation_at_IPO / Total_Equity_Funding,Money_Raised_at_IPO / Last_Funding,Money_Raised_at_IPO / Last_Equity_Funding,Money_Raised_at_IPO / Total_Funding,Money_Raised_at_IPO / Total_Equity_Funding,Total funding amount / number of employees,Numeric revenue range / number of employees,Last funding amount / number of employees,Last funding amount / ( ipo - founded date ),Total funding amount / (ipo - founded date),Number of funding rounds / (ipo - founde date),Numeric revenue amount / total number of employees * (IPO - founded date),ind_update,narrowed_industry,Predicted IPO Status,success
Domo,https://www.crunchbase.com/organization/domo,$100M to $500M,"Analytics, Business Intelligence, Enterprise Software, Information Technology, SaaS, Software",640,Domo designs and delivers an executive management platform as a service to help executives manage their business.,Active,2010,For Profit,2018,http://twitter.com/domotalk,694,Exited Unicorn,,https://www.linkedin.com/company/domo-inc-,,http://www.facebook.com/domoHQ,,,info@domo.com,,,"American Fork, Utah, United States",+1 801.899.1000,"Domo operates a cloud-based platform in the United States. Its platform digitally connects chief executive officer to the front-line employee with the people, data, and systems in an organization, giving them access to real-time data and insights, and allowing them to manage business from smartphones.  Domo also offers a Programmatic Revenue Solution that brings complex data from ad servers and sell-side platforms into a set of cards and dashboards built on practices in the ad tech industry. Josh James founded Domo Technologies on October 2010, which became simply Domo in December 2011, with its headquarters in American Fork in Utah.",,http://www.domo.com,,"Data and Analytics, Information Technology, Software",,Series D,751,IPO,1,2017,Series D,10,511000000,100000000,100000000,714687225,714687225,Made Acquisitions,4,,,1,,,,193000000,1,2020,,2023,2018,300000000,8,8,1,5.11,5.11,0.714998089,0.714998089,1.93,1.93,0.270048202,0.270048202,951647.4368,399467.3768,133155.7923,12500000,89335903.13,1.25,49933.4221,"Business Intelligence, Software, SaaS",Technology & Software,1,yes
WonderFi,https://www.crunchbase.com/organization/defi-ventures,$10M to $50M,"Bitcoin, Blockchain, Ethereum, Finance, Information Technology, Software",21251,WonderFi is a technology company that provides individuals with access to financial services through DeFi.,Active,2021,For Profit,2021,https://www.twitter.com/WonderFi,67,,1,https://www.linkedin.com/company/wonderfi,,,,,hello@wonder.fi,,1,"Toronto, Ontario, Canada",1-888-882-5901,WonderFi is a technology company with the mission of creating better access to DeFi through the core principles of simplicity and education. WonderFi’s platform will serve as a trusted gateway to the new financial system and it aims to enable and empower individuals to use DeFi in a streamlined way.,1,https://www.wonder.fi,1,"Blockchain and Cryptocurrency, Financial Services, Information Technology, Other, Payments, Software",1,Post-IPO Equity,76,IPO,4,2022,Post-IPO Equity,7,,35276686,35276686,64058158,85362689,Made Acquisitions,5,,,5,,,,,1,2023,Growing,2023,2021,30000000,0,0,-1,,,,,,,,,1123193.276,394736.8421,464166.9211,,,,,"Information Technology, Software, Finance",Technology & Software,1,yes
Gigya,https://www.crunchbase.com/organization/gigya,$10M to $50M,"Advertising, Computer, Enterprise Software, Identity Management",29106,"Gigya offers a Customer Identity Management Platform that businesses can use to identify customers, aggregate data & personalize campaigns.",Closed,2006,For Profit,2017,http://twitter.com/Gigya,442,,,http://www.linkedin.com/company/167353,,http://www.facebook.com/gigya,,,info@gigya-inc.com,,,"Mountain View, California, United States",(650) 353-5592,"Gigya's Customer Identity Management Platform helps companies build better customer relationships by turning unknown visitors into known, loyal and engaged customers. With Gigya’s technology, businesses increase registrations and identify customers across devices, consolidate data into rich customer profiles, and provide better service, products and experiences by integrating data into marketing and service applications.   Gigya's platform was designed from the ground up for social identities, mobile devices, consumer privacy and modern marketing. Gigya provides developers with the APIs they need to easily build and maintain secure and scalable registration, authentication, profile management, data analytics and third-party integrations.   More than 700 of the world’s leading businesses such as Fox, Forbes, and Verizon rely on Gigya to build identity-driven relationships and to provide scalable, secure Customer Identity Management.",,http://www.gigya.com,,"Advertising, Consumer Electronics, Hardware, Information Technology, Privacy and Security, Sales and Marketing, Software",,Secondary Market,376,M&A,3,2014,Series F,9,,,35000000,105800000,105800000,Was Acquired,5,SAP,https://www.crunchbase.com/organization/sap,,Acquisition,350000000,2017,,0,,,,,30000000,,11,,,,,,,,,,281382.9787,79787.23404,,,,,,"Identity Management, Enterprise Software, Computer",Technology & Software,0,no
Adevinta,https://www.crunchbase.com/organization/adevinta,$1M to $10M,"Classifieds, Information Technology, Marketplace",2311,Adevinta is a digital marketplace that provides online classifieds services.,Active,2019,For Profit,2019,https://twitter.com/Adevinta,96,,,https://www.linkedin.com/company/adevinta/,,https://www.facebook.com/Adevinta-Corp-1617263885040416/,,1,,,,"Oslo, Oslo, Norway",+47 22 86 44 10,"Adevinta is a marketplace specialist. They help their local digital marketplaces thrive through global connections and networks of knowledge. Their marketplaces unlock the full value in every person, place and thing – helping local communities prosper and leaving a positive footprint on the world.",,https://adevinta.com,,"Commerce and Shopping, Information Technology",,Post-IPO Equity,7501,IPO,1,2021,Post-IPO Equity,1,,2248286568,2248286568,2248286569,2248286569,Made Acquisitions,1,,,1,,,,,1,,Growing,2023,2019,5500000,0,0,-2,,,,,,,,,299731.5783,733.2355686,299731.5782,,,,,"Classifieds, Information Technology, Marketplace",Technology & Software,1,yes
Route Mobile,https://www.crunchbase.com/organization/route-mobile-limited,$50M to $100M,"Cloud Computing, Enterprise Applications, Messaging, Telecommunications",14863,Route Mobile is a cloud communications company that offers communication platform as a service (CPaaS) solutions.,Active,2004,For Profit,2020,https://twitter.com/Route_Mobile,115,,,https://www.linkedin.com/company/routemobile,,https://www.facebook.com/Routemobilelimited,,,support@routemobile.com,,,"Mumbai, Maharashtra, India",+44 2038751695,"Founded in 2004, Route Mobile is a publicly listed company and among the leading Cloud Communications Platform service provider offering Communication Platform as a Service (CPaaS) solutions. Route Mobile caters to enterprises, over-the-top (OTT) players, and mobile network operators (MNO) and its portfolio comprises solutions in messaging, voice, email, SMS filtering, analytics, and monetization. Route Mobile delivers an entire communication product stack, based on a CPaaS principals, infusing Conversational AI across a broad range of industries including social media companies, banks and financial institutions, e-commerce entities, and travel aggregators. The company is headquartered in Mumbai, India with a global presence in the Asia Pacific, Middle East, Africa, Europe, and the Americas.",,https://www.routemobile.com,,"Apps, Hardware, Information Technology, Internet Services, Messaging and Telecommunications, Software",,Post-IPO Equity,751,M&A,2,2021,Post-IPO Equity,1,,116672060,116672060,116672061,116672061,"Made Acquisitions, Was Acquired",,Proximus Group,https://www.crunchbase.com/organization/proximus-group,6,Acquisition,721711478,2023,82291327,1,,Growing,,2020,75000000,16,16,-1,,,,,0.705321625,0.705321625,0.705321619,0.705321619,155355.6072,99866.84421,155355.6059,7292003.75,7292003.813,0.0625,6241.677763,"Cloud Computing, Telecommunications, Messaging",Technology & Software,1,yes
Skayle,https://www.crunchbase.com/organization/mobikon,$1M to $10M,"Computer, CRM, Loyalty Programs, Marketing Automation, Mobile, Restaurants, Software",44209,"Largest data-enabled integrated platform providing open access to every restaurant, enterprise, & partners that connect & grow the industry",Closed,2011,For Profit,,https://twitter.com/goskayle,3,,1,https://www.linkedin.com/company/930990,,https://www.facebook.com/goskayle/,,,marketing@skayle.com,,2,"Singapore, Central Region, Singapore",(659)127-2972,"We are a technology company that is here to innovate and transform the restaurant industry by providing real-time access to the entire restaurant ecosystem. We have built the largest data-enabled integrated platform that provides open access to every restaurant and enterprise on earth, as well as the partners that connect and grow the industry. Present across 5 countries, Skayle has engaged over 25.3+ Million Diners",,https://www.skayle.com,1,"Consumer Electronics, Food and Beverage, Hardware, Information Technology, Mobile, Sales and Marketing, Software",,Series B,76,Early Stage Venture,1,2019,Series B,6,,12500000,12500000,24500000,24500000,Made Acquisitions,5,,,2,,,,,0,,,,,5500000,,,,,,,,,,,,322368.4211,72368.42105,164473.6842,,,,,"Software, Restaurants, Mobile",Technology & Software,0,no
Angel.ai,https://www.crunchbase.com/organization/angel-ai,$1M to $10M,"Apps, Artificial Intelligence (AI), Internet, Machine Learning, Reservations",40806,"Angel.ai, formerly GoButler, is a technology company that supports businesses in automating conversational commerce using NLP.",Closed,2015,For Profit,2016,https://twitter.com/angeldotai,61,,,https://www.linkedin.com/company/gobutler,,https://www.facebook.com/GoButlerofficial,,,,,,"New York, New York, United States",,"Founded in February 2015, GoButler is a messaging-based, on-demand service that operates as a digital personal assistant, using Human Assisted Artificial Intelligence (HAAI) to fulfill requests 24/7, 365 days a year. GoButler takes the time and inconvenience out of everyday tasks, fulfilling on-demand requests, from food delivery and travel bookings to restaurant reservations and more. GoButler searches the web, compares prices, reads reviews and orders, using the best services at the most reasonable costs. The service saves users valuable time, getting them the things they need, when they want them, all conveniently via text message. In September 2016, there were rumors that Angel.ai had been acquired by Amazon. An Amazon spokesperson however stated on 21 September 2016: “Amazon did not acquire Angel.ai. We made an individual hire of [former Angel.ai CEO] Navid Hadzaad. His title is Product Lead, New Initiatives.”",,http://www.angel.ai,,"Apps, Artificial Intelligence (AI), Data and Analytics, Events, Internet Services, Media and Entertainment, Science and Engineering, Software",,Series A,76,M&A,4,2015,Series A,1,,8000000,8000000,8000000,8000000,Was Acquired,1,Amazon,https://www.crunchbase.com/organization/amazon,,Acquihire,,2016,,0,,,,,5500000,,1,,,,,,,,,,105263.1579,72368.42105,105263.1579,,,,,"Artificial Intelligence (AI), Reservations, Machine Learning",Technology & Software,0,no
Happiest Minds Technologies,https://www.crunchbase.com/organization/happiest-minds,$100M to $500M,"Analytics, Cloud Computing, Software",3314,"Happiest Minds provides IT services focused on cloud computing, social media, mobility solutions, BI, analytics, and unified communications.",Active,2011,For Profit,2020,http://twitter.com/happiestminds,105,,,http://www.linkedin.com/company/happiest-minds-technologies,,http://www.facebook.com/pages/Happiest-Minds-Technologies/115759,,,contactus@happiestminds.com,,,"Bangalore, Karnataka, India",408 520 7611,"Happiest Minds enables Digital Transformation for enterprises and technology providers by delivering seamless customer experience, business efficiency and actionable insights through an integrated set of disruptive technologies: big data analytics, internet of things, mobility, cloud, security, unified communications, etc. Happiest Minds offers domain centric solutions, IPs in IT Services, Product Engineering, Infrastructure Management and Security. These services have applicability across industry sectors such as Retail, CPG, e-commerce, banking, insurance, hi-tech, engineering R&D, manufacturing, automotive and travel/transportation/hospitality. As a Mindful IT Company, the focus is on ‘Being Mindful’ and ‘Doing Mindful’ which involves perceiving immersively, processing non-judgmentally and performing empathetically. 60 minutes in a week is committed towards inculcating a mindful approach within the organization, using a select set of tools and techniques. Headquartered in Bangalore, India, Happiest Minds has operations in the US, UK, The Netherlands, Australia, Middle East and Turkey.",,http://www.happiestminds.com,,"Data and Analytics, Internet Services, Software",,Post-IPO Equity,7501,IPO,4,2023,Post-IPO Equity,2,,60919444,60919444,105919445,105919445,Made Acquisitions,2,,,7,,,,95401373,1,,Growing,,2020,300000000,9,9,-3,,,,,1.566025012,1.566025012,0.90069744,0.90069744,14120.70991,39994.66738,8121.509665,6768827.111,11768827.22,0.222222222,4443.851931,"Analytics, Cloud Computing, Software",Technology & Software,1,yes
IgnitionOne,https://www.crunchbase.com/organization/searchignite,$100M to $500M,"Advertising, Customer Service, Data Integration, Digital Marketing, Digital Media, E-Commerce, SaaS, Test and Measurement",30387,IgnitionOne is a marketing technology and services that offers cloud-based customer intelligence solutions to enterprise marketers.,Closed,2004,For Profit,,http://twitter.com/ignitionone,130,,,http://www.linkedin.com/company/ignitionone,,http://www.facebook.com/IgnitionOne,,1,info@ignitionone.com,,,"New York, New York, United States",1(888) 744-6483,"IgnitionOne is a marketing technology and services that offers cloud-based customer intelligence solutions to enterprise marketers. It provides a customer intelligence platform that empowers marketers to find and engage their most valuable customers across channels to maximize overall results. Its solution also provides a single platform to leverage customer data from a range of systems to power effective omnichannel targeting and personalization. IgnitionOne was founded in 2004 and is based in New York, United States.",,http://www.ignitionone.com,,"Advertising, Commerce and Shopping, Data and Analytics, Information Technology, Media and Entertainment, Other, Professional Services, Sales and Marketing, Software",,Debt Financing,376,Early Stage Venture,1,2019,Series B,6,,5000000,21473091,55467987,86686303,Made Acquisitions,2,,,3,,,,,0,,,,,300000000,,,,,,,,,,,,230548.6782,797872.3404,13297.87234,,,,,"Digital Marketing, Customer Service, Test and Measurement",Technology & Software,0,no
WaterBit,https://www.crunchbase.com/organization/waterbit-inc,$1M to $10M,"Agriculture, AgTech, Robotics, Software",41616,WaterBit’s automated irrigation solution empowers growers to remotely monitor and control precision irrigation to their crops.,Closed,2015,For Profit,,https://www.twitter.com/waterbitinc,3,,,https://www.linkedin.com/company/waterbit-inc/,,https://www.facebook.com/waterbit-inc-693431660768921,,,dana@waterbit.com,,,"San Jose, California, United States",1(408)618-6900,"WaterBit’s automated irrigation solution enables control of local irrigation taking into account growth stage and soil conditions at a level of granularity and accuracy that is not possible with other current methods. WaterBit translates technology into tangible value for growers to improve yields, ensure crop quality, optimize water usage and implement labor saving strategies.",,http://www.waterbit.com/,,"Agriculture and Farming, Hardware, Science and Engineering, Software",,Series A,31,Early Stage Venture,2,2018,Series A,3,,11400000,11400000,11400000,11624880,,2,,,,,,,,0,,,2020,,5500000,,,,,,,,,,,,374996.129,177419.3548,367741.9355,,,,,"Software, Robotics, Agriculture",Technology & Software,0,no
