Organization Name,Organization Name URL,Estimated Revenue Range,Industries,CB Rank (Company),Description,Operating Status,Founded Date,Company Type,Exit Date,Twitter,Number of Articles,Hub Tags,Number of Lead Investments,LinkedIn,Actively Hiring,Facebook,Investor Type,Number of Sub-Orgs,Contact Email,Investment Stage,Number of Investments,Headquarters Location,Phone Number,Full Description,Number of Exits (IPO),Website,Number of Portfolio Organizations,Industry Groups,Number of Exits,Last Funding Type,Number of Employees,Funding Status,Number of Founders,Last Funding Date,Last Equity Funding Type,Number of Funding Rounds,Valuation at IPO (in USD),Last Funding Amount (in USD),Last Equity Funding Amount (in USD),Total Equity Funding Amount (in USD),Total Funding Amount (in USD),Acquisition Status,Number of Lead Investors,Acquired by,Acquired by URL,Number of Acquisitions,Acquisition Type,Price (in USD),Announced Date,Money Raised at IPO (in USD),IPO Status,Last Layoff Mention Date,Growth Category,Last Leadership Hiring Date,IPO Date,Numeric Revenue Range,IPO Date - Founded Date,Exit Date - Founding Date,IPO Date - Last_Funding_Date,Valuation_at_IPO / Last_Funding,Valuation_at_IPO_per_Last_Equity_Funding,Valuation_at_IPO / Total_Funding,Valuation_at_IPO / Total_Equity_Funding,Money_Raised_at_IPO / Last_Funding,Money_Raised_at_IPO / Last_Equity_Funding,Money_Raised_at_IPO / Total_Funding,Money_Raised_at_IPO / Total_Equity_Funding,Total funding amount / number of employees,Numeric revenue range / number of employees,Last funding amount / number of employees,Last funding amount / ( ipo - founded date ),Total funding amount / (ipo - founded date),Number of funding rounds / (ipo - founde date),Numeric revenue amount / total number of employees * (IPO - founded date),ind_update,narrowed_industry,,Organization Name.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Number of Articles.1,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Number of Investments.1,Unnamed: 22,Unnamed: 23,Unnamed: 24,Number of Exits (IPO).1,Unnamed: 26,Number of Portfolio Organizations.1,Unnamed: 28,Number of Exits.1,Unnamed: 30,Number of Employees.1,Unnamed: 32,Number of Founders.1,Unnamed: 34,Unnamed: 35,Number of Funding Rounds.1,Valuation at IPO (in USD).1,Last Funding Amount (in USD).1,Last Equity Funding Amount (in USD).1,Total Equity Funding Amount (in USD).1,Total Funding Amount (in USD).1,Unnamed: 42,Number of Lead Investors.1,Unnamed: 44,Unnamed: 45,Number of Acquisitions.1,Unnamed: 47,Unnamed: 48,Unnamed: 49,Money Raised at IPO (in USD).1,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Adjusted Valuation According to Inflation,Numerical Revenue Range,IPO Date - Founded Date.1,Exit Date - Founding Date.1,IPO Date - Last_Funding_Date.1,Valuation_at_IPO / Last_Funding.1,Valuation_at_IPO_per_Last_Equity_Funding.1,Valuation_at_IPO / Total_Funding.1,Valuation_at_IPO / Total_Equity_Funding.1,Money_Raised_at_IPO / Last_Funding.1,Money_Raised_at_IPO / Last_Equity_Funding.1,Money_Raised_at_IPO / Total_Funding.1,Money_Raised_at_IPO / Total_Equity_Funding.1,Total funding amount / number of employees.1,Numeric revenue range / number of employees.1,Last funding amount / number of employees.1,Last funding amount / ( ipo - founded date ).1,Total funding amount / (ipo - founded date).1,Number of funding rounds / (ipo - founde date).1,IPO - last learship hiring date,Numeric revenue amount / total number of employees * (IPO - founded date).1,success
Flipkart,https://www.crunchbase.com/organization/flipkart,$1B to $10B,"E-Commerce, Internet, Marketplace, Shopping","14,471",Flipkart operates an online shopping website that offers a wide range of products and services to customers.,Closed,2007,For Profit,2018,https://twitter.com/flipkart,"7,563","Crunchbase Venture Program, Exited Unicorn",31,https://www.linkedin.com/company/flipkart,,https://www.facebook.com/flipkart,,3,cs@flipkart.com,,37,"Bengaluru, Karnataka, India",800 208 9898,"Flipkart is an e-commerce marketplace that offers over 30 million products across 70+ categories. It provides books, movies, music, games, consoles, gaming accessories, mobiles, mobile accessories, cameras, camera accessories, computers, computer accessories, network components, software, peripherals, home and kitchen appliances, TV, and video products, and personal and health care products.  Flipkart, currently 33,000 people strong, has 75 million registered users clocking over 10 million daily visits. Flipkart’s technology has enabled it to deliver 8 million shipments per month – and this number is only growing. Binny and Sachin Bansal founded Flipkart in 2007, with headquarters in Bengaluru in India. In 2018, the company was acquired by the giant retail corporation, [Walmart](/organization/Walmart).",4,https://www.flipkart.com,18,"Commerce and Shopping, Internet Services",4,Corporate Round,10001,M&A,2,2023,Corporate Round,28,,950000000,950000000,12388981402,15223184737,"Made Acquisitions, Was Acquired",13,Walmart,https://www.crunchbase.com/organization/walmart,17,Acquisition,16000000000,2018,,Private,2024,,2024,,5500000000,,11,,,,,,,,,,1522166.257,549945.0055,94990.50095,,,,,"Shopping, Marketplace, Internet",Uncategorized,,LifeMD,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,176,,1,,,1,,20000000,20000000,20000000,20000000,,1,,,1,,,,,,,,,,,300000000,-10,-10,-23,,,,,,,,,113636.3636,1704545.455,113636.3636,,,,,,Yes
EverString,https://www.crunchbase.com/organization/everstring,$1M to $10M,"Marketing, Predictive Analytics, SaaS, Software","14,573",EverString is a provider of a cloud-based predictive analytics platform used for companies to identify and engage with customer prospects.,Closed,2012,For Profit,2020,https://twitter.com/EverString,23,,,https://www.linkedin.com/company/everstring-technology/,,https://www.facebook.com/everstringtechnology,,,contact@everstring.com,,,"San Mateo, California, United States",(650)425-3937,"EverString is a provider of a cloud-based SaaS predictive analytics platform used for companies to identify and engage with customer prospects. Its platform provides predictive scoring, demand generation, and advertisement targeting that enable clients to build a new pipeline and increase conversion rates easily. The company's AI SaaS solution is designed for B2B sales and marketing professionals to drive pipeline growth, help close new customers, expand into new markets, prioritize accounts, and provide actionable insights.",,https://www.everstring.com,,"Artificial Intelligence (AI), Data and Analytics, Sales and Marketing, Software",,Series B,76,M&A,2,2015,Series B,4,,65000000,65000000,78700000,78700000,Was Acquired,1,ZoomInfo,https://www.crunchbase.com/organization/zoominfo,,Acquisition,,2020,,Private,,,,,5500000,,8,,,,,,,,,,1035526.316,72368.42105,855263.1579,,,,,"Predictive Analytics, Software, SaaS",Technology & Software,,Sientra,,,,,,,,,,,74,,,,,,,,,,,,,,,,,,,,376,,1,,,8,212284125,13200000,13200000,380700000,400700000,,5,,,1,,,,75000000,,,,,,246633436.3,75000000,11,11,-8,16.08213068,16.08213068,0.529783192,0.557615248,5.681818182,5.681818182,0.187172448,0.197005516,1065691.489,199468.0851,35106.38298,1200000,36427272.73,0.727272727,,18133.46228,Yes
V.tal,https://www.crunchbase.com/organization/v-tal,$1M to $10M,"Digital Signage, Internet, Telecommunications","14,587",V.tal is a provides end to end digital infrastructure solutions for the telecom and internet industries.,Closed,2021,For Profit,2022,,6,,,https://www.linkedin.com/company/v-tal,,https://www.facebook.com/vtaloficial,,,,,,"Brasil, Sao Paulo, Brazil",,V.tal is a provides end to end digital infrastructure solutions for the telecom and internet industries.,,https://vtal.com.br,,"Hardware, Internet Services, Sales and Marketing",,Private Equity,3001,M&A,,2022,Private Equity,1,,462098667,462098667,462098667,462098667,"Made Acquisitions, Was Acquired",1,BTG Pactual,https://www.crunchbase.com/organization/btg-pactual,1,Acquisition,2400000000,2022,,Private,,,,,5500000,,1,,,,,,,,,,153981.5618,1832.722426,153981.5618,,,,,"Digital Signage, Internet, Telecommunications",Telecommunications & Networking,,Medical Properties Trust,,,,,,,,,,,182,,,,,,,,,,1,,,,,,1,,,,76,,3,,,3,,803956843,641600000,641600000,2745556844,,1,,,1,,,,,,,,,,,5500000,2,2,-19,,,,,,,,,36125747.95,72368.42105,10578379.51,401978421.5,1372778422,1.5,,36184.21053,Yes
Holoride,https://www.crunchbase.com/organization/holoride,$1M to $10M,"Automotive, Digital Entertainment, Digital Media, Software, Virtual Reality","14,618",Holoride is a company turning vehicles into moving theme parks by synching XR with vehicle movement and navigation data.,Closed,2018,For Profit,,https://twitter.com/holoride,53,,,https://www.linkedin.com/company/holoride/,,https://www.facebook.com/holoride/,,,info@holoride.com,,,"Munich, Bayern, Germany",,"Holoride is a developer of in-car VR systems for the automotive industry.  It creates an entirely new media category for passengers by connecting Extended Reality (XR) content with data points from the vehicle in real-time. These data points include physical feedback, like acceleration and steering, traffic data, as well as travel route and time. Holoride technology provides a new type of immersion into any kind of VR content, creating a breathtaking, immersive experience, and significantly reducing motion sickness. The Munich, Bayern-headquartered company was formed by Daniel Profendiner, Marcus Kühne, and Nils Wollny in 2018.",,https://www.holoride.com/,,"Hardware, Media and Entertainment, Software, Transportation",,Venture - Series Unknown,31,,3,2021,Venture - Series Unknown,2,,,,12014451,12014451,,1,,,,,,,,Private,,Growing,,,5500000,,,,,,,,,,,,387562.9355,177419.3548,,,,,,"Virtual Reality, Software, Digital Media",Technology & Software,,Supernus Pharmaceuticals,,,,,,,,,,,55,,,,,,,,,,,,,,,,,,,,376,,1,,,6,,150000000,42000000,69500000,689500000,,2,,,2,,,,50000000,,,,,,,750000000,7,7,-11,,,,,0.333333333,1.19047619,0.072516316,0.71942446,1833776.596,1994680.851,398936.1702,21428571.43,98500000,0.857142857,,284954.4073,Yes
Jupiter Exchange,https://www.crunchbase.com/organization/jupiter-exchange,,Financial Services,"14,666","Jupiter Exchange was a NYC-based alternative asset exchange using fractional NFT technology. (NOT Jupiter exchange aka ""Jupiter Swap"")",Closed,2022,For Profit,,,3,,,,,,,,,,,"New York, New York, United States",,"Jupiter curates iconic objects and makes fractional ownership available to anyone through its digital marketplace and exchange. The company establishes a process where the ownership of each carefully curated item, such as fine art, cars, sneakers, and pop culture memorabilia, is minted as an NFT and fractionalized into individual ownership tokens. Once sold out on the marketplace, the item is listed on the exchange and available through a traditional bid-ask model. (NOT Jupiter exchange aka ""Jupiter Swap"")",,https://jupiterexchange.com/,,Financial Services,,Seed,76,Seed,1,2022,Seed,1,,5000000,5000000,5000000,5000000,,1,,,,,,,,Private,,,,,,,,,,,,,,,,,65789.47368,,65789.47368,,,,,Financial Services,Financial Services & Fintech,,KalVista Pharmaceuticals,,,,,,,,,,,107,,,,,,,,,,,,,,,,,,,,176,,4,,,5,,160100000,160100000,457804828,457804828,,3,,,1,,,,68000000,,,,,,,75000000,4,4,-9,,,,,0.424734541,0.424734541,0.148534912,0.148534912,2601163.795,426136.3636,909659.0909,40025000,114451207,1.25,,106534.0909,Yes
SocialChorus,https://www.crunchbase.com/organization/socialchorusinc,$10M to $50M,"Analytics, Content, Information Technology, Mobile, SaaS, Software","14,852",SocialChorus is the workforce communication platform that transforms the digital workplace to mobilize the enterprise.,Closed,2008,For Profit,2020,http://twitter.com/socialchorus,39,,,http://www.linkedin.com/company/socialchorus/,,http://www.facebook.com/SocialChorus/,,,info@socialchorus.com,,,"San Francisco, California, United States",(415) 655-2700,"Agility is the greatest advantage in the modern marketplace. Enterprises that can’t adapt quickly can’t win. So we’ve made it our mission to help companies act proactively and react rapidly to achieve their business goals. The SocialChorus FirstUp platform is the communications backbone of the enterprise, enabling organizations to reach every employee–from the front line to the C-suite—with targeted information at the right time, in the right place and in the right language. At the same time, it unifies the digital workplace, giving workers personalized access to all the systems, resources and applications they need to do their jobs.  Employees get a simplified workflow that helps them be more productive, while companies get enterprise-wide analytics and valuable intelligence on their workforce. That’s why the world’s largest employers, like Amazon, Ford and ABInBev, choose SocialChorus to move their business forward.",,http://www.socialchorus.com/,,"Data and Analytics, Information Technology, Media and Entertainment, Mobile, Software",,Debt Financing,176,M&A,4,2019,Series C,5,,10000000,12500000,37000000,47000000,"Made Acquisitions, Was Acquired",4,Sumeru Equity Partners,https://www.crunchbase.com/organization/sumeru-equity-partners,1,Leveraged Buyout,100000000,2020,,Private,,,,,30000000,,12,,,,,,,,,,267045.4545,170454.5455,56818.18182,,,,,"Software, SaaS, Mobile",Technology & Software,,Nuvation Bio,,,,,,,,,,,51,,,,,,,,,,,,,,,,,,,,76,,2,,,2,,502000000,502000000,777000000,777000000,,2,,,1,,,,,,,,,,,,3,3,0,,,,,,,,,10223684.21,,6605263.158,167333333.3,259000000,0.666666667,,,Yes
Panobi,https://www.crunchbase.com/organization/panobi,,SaaS,"14,928",Panobi is a SaaS company currently in stealth.,Closed,2021,For Profit,,https://twitter.com/panobihq,9,,,,,,,,account@panobi.com,,,"San Francisco, California, United States",,Panobi is a SaaS company currently in stealth.,,https://panobi.com,,Software,,Seed,31,Seed,1,2023,Seed,2,,5000000,5000000,5000000,5000000,,1,,,,,,,,Private,,Growing,,,,,,,,,,,,,,,161290.3226,,161290.3226,,,,,SaaS,Technology & Software,,OrthoPediatrics,,,,,,,,,,,70,,,,,,,,,,,,,,,,,,,,176,,1,,,5,156000000,80000000,125000000,163951875,256451875,,1,,,4,,,,52000000,,,,,,175030599.8,300000000,11,11,-7,1.95,1.248,0.608301265,0.951498725,0.65,0.416,0.202767088,0.317166242,1457112.926,1704545.455,454545.4545,7272727.273,23313806.82,0.454545455,,154958.6777,Yes
Adesto Technologies,https://www.crunchbase.com/organization/adesto-technologies,$10M to $50M,"Embedded Software, Information Technology, Manufacturing, Semiconductor","14,942","Adesto Technologies is a semiconductor company developing ultralow-power, embedded, non-volatile memory technology.",Closed,2006,For Profit,2015,https://twitter.com/adestotech,28,,,https://www.linkedin.com/company/adesto-technlogies,,https://www.facebook.com/AdestoTech/,,,contact@adestotech.com,,,"Santa Clara, California, United States",(408) 400-0578,"Adesto is a leading provider of innovative, application-specific semiconductors and embedded systems that comprise the essential building blocks of Internet of Things (IoT) edge devices operating on networks worldwide. Their broad portfolio of semiconductor and embedded technologies are optimized for connected IoT devices and systems used in industrial, consumer, communications and medical applications. Through expert design, unparalleled systems expertise and proprietary intellectual property (IP), their offerings enable customers to differentiate their IoT systems and product designs, leading to improved efficiency, greater reliability and security, integrated intelligence and ultimately lower cost. They have deep experience serving numerous IoT segments, and their technology is operating today across a broad range of connected products from smart utility meters, wearable fitness trackers and medical monitors to home automation, building control systems, fleet management systems and satellite communications applications. Their broad product portfolio, which is designed to deliver system performance and cost advantages to their customers, includes IoT edge servers, routers, network nodes and communication modules as well as analog, digital and non-volatile memory (NVM) technologies that are delivered to customers as discrete products, application-specific integrated circuits (ASICs), distributed network systems and IP cores. They also provide software, software development kits (SDKs), tools and system solutions to help speed time to market for customers. Their solutions enable seamless access to data, allowing for intelligent control of ‘things’ in today’s connected world.",,http://www.adestotech.com,,"Hardware, Information Technology, Manufacturing, Science and Engineering, Software",,Post-IPO Debt,176,M&A,3,2019,Post-IPO Equity,12,81000000,70000000,37300000,103181909,181181909,"Made Acquisitions, Was Acquired",,Dialog Semiconductor,https://www.crunchbase.com/organization/dialog-semiconductor,2,Acquisition,500000000,2020,,Delisted,,,,2015,30000000,9,9,-4,1.157142857,2.171581769,0.447064502,0.785021335,,,,,1029442.665,170454.5455,397727.2727,7777777.778,20131323.22,1.333333333,18939.39394,"Semiconductor, Information Technology, Embedded Software",Technology & Software,,Bright Healthcare,,,,,,,,,,,101,,,,,,,,,,,,,,,,,,,,3001,,3,,,1,,80000000,80000000,80000000,80000000,,2,,,3,,,,,,,,,,,5500000000,6,6,5,,,,,,,,,26657.78074,1832722.426,26657.78074,13333333.33,13333333.33,0.166666667,,305453.7376,Yes
Cozy,https://www.crunchbase.com/organization/cozy,$100M to $500M,"Finance, Property Management, PropTech, Real Estate, Rental, Software","14,960",Cozy is an online property management service designed for landlords and renters.,Closed,2012,For Profit,2018,http://twitter.com/CozyCo,30,,,https://www.linkedin.com/company/cozy,,http://www.facebook.com/socozy,,,hello@cozy.co,,,"Portland, Oregon, United States",5038416062,"Cozy is an online property management service designed for landlords and renters. Its products is for rent payments, rental applications, and tenant screening. Cozy helps small and medium landlords and renters to get things done. It was founded in 2012 and headquartered in Portland, Oregon.",,http://cozy.co,,"Commerce and Shopping, Financial Services, Real Estate, Software",,Series B,31,M&A,2,2016,Series B,4,,8500000,8500000,18368996,18368996,"Made Acquisitions, Was Acquired",3,CoStar Group,https://www.crunchbase.com/organization/costar-group,1,Acquisition,68000000,2018,,Private,,,,,300000000,,6,,,,,,,,,,592548.2581,9677419.355,274193.5484,,,,,"Property Management, Software, Rental",Real Estate & Construction,,Sonendo,,,,,,,,,,,72,,,,,,,,,,,,,,,,,,,,176,,1,,,14,315360900,63000000,63000000,324031879,334749879,,5,,,2,,,,93600000,,,,,,330756092.7,30000000,15,15,-1,5.005728571,5.005728571,0.942079205,0.973240352,1.485714286,1.485714286,0.279611752,0.288860467,1901987.949,170454.5455,357954.5455,4200000,22316658.6,0.933333333,,11363.63636,Yes
Deliv,https://www.crunchbase.com/organization/deliv,$10M to $50M,"Crowdsourcing, E-Commerce, Internet, Same Day Delivery","14,974",Deliv is a crowdsourced same-day delivery service for large national multichannel retailers.,Closed,2012,For Profit,2020,http://twitter.com/deliv,263,,,http://www.linkedin.com/company/delivery.com,,http://www.facebook.com/deliv,,,support@deliv.co,,,"Menlo Park, California, United States",1.18E+11,"Deliv is a crowdsourced, same-day delivery service that extends the reach of omnichannel retailers and provides their customers with an even more exceptional shopping experience. The company helps retailers enhance their customer experience by giving customers the choice to receive their items whenever and wherever they want. Deliv allows retailers to offer their customers a same-day delivery option as they shop from their website, mobile app or even when they are shopping in their physical brick and mortar stores.  The same-day delivery button is simply added into the existing checkout process which allows the retailer to maintain ownership and data from each customer transaction. All same-day delivery orders (whether purchased online or in the store) are fulfilled and delivered from local brick and mortar stores, which now allow retailers’ stores to strategically become local distribution centers. This allows retailers to deliver faster and cheaper and in a more convenient way than any pure play eCommerce player like Amazon.   Deliv has partnered with nearly 100 national and regional omnichannel retailers, as well as the four largest mall operators in the U.S., Simon Property Group, Macerich, Westfield and General Growth Properties. These mall operators manage close to 800 malls across the country, and extend this offering to all of its tenant retailers. Deliv is currently live with almost 100 retailers in nine malls across the four mall operators in five geographies within California and Illinois. Deliv is quickly expanding to dozens of other geographies nationwide.   Deliv’s crowdsourced drivers are made up of highly educated, experienced customer service and sales personnel. They are rated by customers so the platform is able to prioritize the allocation of jobs to those with the highest ratings. The Deliv platform incorporates smart routing and full transparency including the ability for shoppers to watch their delivery on a map real time from pickup to delivery to their doorstep.    To date, Deliv has raised $12.5 million from traditional, institutional and strategic investors including the four mall operators, Simon, Macerich, Westfield and GGP, as well as General Catalyst Partners, Operators Fund, PivotNorth Capital, RPM Ventures and Upfront Ventures.",,http://www.deliv.co,,"Commerce and Shopping, Internet Services, Other, Transportation",,Series C,31,M&A,1,2018,Series C,5,,40000000,40000000,80350000,80350000,"Made Acquisitions, Was Acquired",3,Target,https://www.crunchbase.com/organization/target,2,Acquisition,,2020,,Private,2020,,,,30000000,,8,,,,,,,,,,2591935.484,967741.9355,1290322.581,,,,,"Same Day Delivery, Internet, E-Commerce",Consumer Goods & Retail,,Melinta Therapeutics,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,176,,5,,,14,,123200000,123200000,601200000,877400000,,10,,,2,,,,,,,,,,,30000000,17,17,-1,,,,,,,,,4985227.273,170454.5455,700000,7247058.824,51611764.71,0.823529412,,10026.73797,Yes
Cursor,https://www.crunchbase.com/organization/cursor,,"Analytics, Data Integration, Software","15,092","Cursor is a collaborative analytics platform that lets users easily author, organize and search code from around their organization.",Closed,2017,For Profit,2019,https://twitter.com/cursordata,3,,,https://www.linkedin.com/company/cursordata,,https://www.facebook.com/cursordata,,,pointer@cursor.com,,,"San Francisco, California, United States",+1 (650) 560-5008,"Cursor is a collaborative analytics platform that lets users easily author, organize and search code from around their organization. Cursor offers a data search and analytics hub that makes disparate data accessible and actionable, enabling technical and business users to effortlessly get answers, collaborate and gain insights. ",,https://www.cursor.com,,"Data and Analytics, Information Technology, Software",,Seed,31,M&A,3,2018,Seed,1,,2000000,2000000,2000000,2000000,Was Acquired,1,DataRobot,https://www.crunchbase.com/organization/datarobot,,Acquisition,,2019,,Private,,,,,,,2,,,,,,,,,,64516.12903,,64516.12903,,,,,"Analytics, Data Integration, Software",Technology & Software,,Ensysce Biosciences,,,,,,,,,,,64,,,,,,,,,,,,,,,,,,,,,,1,,,9,,15000000,3000000,65500000,120985000,,2,,,1,,,,,,,,,,,5500000,13,13,-3,,,,,,,,,,,,1153846.154,9306538.462,0.692307692,,,Yes
test.ai,https://www.crunchbase.com/organization/testai,$1M to $10M,"Artificial Intelligence (AI), Developer Tools, Mobile, Software, Test and Measurement","15,155",test.ai provides an AI-powered test automation platform to help organizations deliver quality mobile app experiences at scale,Closed,2015,For Profit,,https://twitter.com/testdotai,6,,,https://www.linkedin.com/company/test.ai/,,https://www.facebook.com/testdotai/,,,hi@test.ai,,,"San Francisco, California, United States",,Test.ai provides an AI-powered test automation platform to help organizations deliver quality mobile app experiences. The platform scales and can test thousands of apps in parallel without the need to code or maintain tests. Test.ai automates testing for the most impactful user experiences so that app teams can focus on improving them. The team at test.ai wrote the book on testing— having worked on some of the world’s most used software such as Chrome and Bing and co-authoring books such as How Google Tests Software and App Quality: Secrets for Agile App Teams. Test.ai is dedicated to elevating the quality of the world’s apps and is uniquely qualified to do so.,,https://test.ai,,"Artificial Intelligence (AI), Data and Analytics, Mobile, Science and Engineering, Software",,Series A,31,Early Stage Venture,3,2018,Series A,5,,11000000,11000000,17600000,17600000,,4,,,,,,,,Private,,,,,5500000,,,,,,,,,,,,567741.9355,177419.3548,354838.7097,,,,,"Test and Measurement, Artificial Intelligence (AI), Mobile",Manufacturing & Industrial,,Transcenta,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,176,,3,,,4,706473221,,,342000000,342000000,,9,,,2,,,,70261973,,,,,,740961616.2,5500000,2,2,0,,,2.065711173,2.065711173,,,0.205444365,0.205444365,1943181.818,31250,,,171000000,2,,15625,Yes
Aunt Bertha,https://www.crunchbase.com/organization/aunt-bertha,$10M to $50M,"Charity, Consulting, Employment, GovTech, Software","15,192","Aunt Bertha is a company that connects social care for organizations, helping them better assist people and communities.",Closed,2010,For Profit,,http://twitter.com/AuntBertha,26,,,https://www.linkedin.com/company/aunt-bertha-inc,,http://www.facebook.com/auntbertha,,,info@auntbertha.com,,,"Austin, Texas, United States",+1 512-522-9549,"Aunt Bertha picks up where Uncle Sam leaves off by making it easy to find and apply for government and charitable social service programs. By organizing the world's human service program information, people in need, and the people who help them can find programs in seconds on. They are driving down the cost of administering social service programs by providing a simple way for governments and charities to accept applications online. Aunt Bertha was founded in 2010 and headquartered in Austin, Texas.",,https://company.auntbertha.com,,"Government and Military, Information Technology, Other, Professional Services, Social Impact, Software",,Series D,176,Late Stage Venture,1,2021,Series D,7,,27000000,27000000,48250000,49250000,,3,,,,,,,,Private,,,,,30000000,,,,,,,,,,,,279829.5455,170454.5455,153409.0909,,,,,"Software, GovTech, Employment",Technology & Software,,AtriCure,,,,,,,,,,,112,,,,,,,,,,,,,,,,,,,,376,,2,,,3,,175000000,175000000,201000000,201000000,,1,,,3,,,,,,,,,,,300000000,5,5,-15,,,,,,,,,534574.4681,797872.3404,465425.5319,35000000,40200000,0.6,,159574.4681,Yes
Advanced Disposal Services,https://www.crunchbase.com/organization/advance-disposal-services,$1B to $10B,"Commercial, Environmental Consulting, Industrial, Recycling, Waste Management","15,196",Advanced Disposal brings fresh ideas and solutions to the business of a clean environment.,Closed,2000,For Profit,2016,,11,,,https://www.linkedin.com/company/advanced-disposal,,https://www.facebook.com/AdvancedDisposal/,,,philip.alia@advanceddisposal.com,,,"Ponte Vedra, Florida, United States",(904)737-7900,"Advanced Disposal brings fresh ideas and solutions to the business of a clean environment.  As the fourth largest solid waste company in the U.S., we provide integrated, non-hazardous solid waste collection, recycling and disposal services to residential, commercial, industrial, and construction customers across 16 states and the Bahamas. Our team is dedicated to finding effective, sustainable solutions to preserve the environment for future generations.",,http://www.advanceddisposal.com/,,"Manufacturing, Other, Professional Services, Sustainability",,Series B,7501,M&A,1,2016,Series B,2,1800000000,280000000,280000000,280000000,280000000,Was Acquired,1,Waste Management,https://www.crunchbase.com/organization/waste-management,,Acquisition,4600000000,2020,346500000,Delisted,,,,2016,5500000000,16,16,0,6.428571429,6.428571429,6.428571429,6.428571429,1.2375,1.2375,1.2375,1.2375,37328.35622,733235.5686,37328.35622,17500000,17500000,0.125,45827.22304,"Waste Management, Recycling, Industrial",Energy & Environmental Services,,Liquidia Technologies,,,,,,,,,,,53,,,,,,,,,,,,,,,,,,,,176,,2,,,19,166000000,75000000,75000000,324899994,415899994,,8,,,1,,,,50000000,,,,,,181800079.6,30000000,14,14,-6,2.213333333,2.213333333,0.399134413,0.510926448,0.666666667,0.666666667,0.120221209,0.153893509,2363068.148,170454.5455,426136.3636,5357142.857,29707142.43,1.357142857,,12175.32468,Yes
ClearMetal,https://www.crunchbase.com/organization/clearmetal,Less than $1M,"Enterprise Software, Logistics, Shipping, Software, Supply Chain Management, Transportation","15,225",Leading Supply Chain & Logistics Solution Utilizing Continuous Delivery Experience  (CDX),Closed,2014,For Profit,2021,https://twitter.com/ClearMetalInc,7,,,https://www.linkedin.com/company/clearmetal,,https://www.facebook.com/clearmetal/,,,info@clearmetal.com,,,"San Francisco, California, United States",(415)857-4390,"ClearMetal, Inc., based in San Francisco CA (USA), is a leader in the Continuous Delivery Experience (CDX), enabling supply chain organizations to optimize logistics and provide their customers with easy access to trusted, live information about their shipments. The ClearMetal CDX Platform uses proprietary machine learning algorithms to break free from static-visibility paradigms and make sense of supply chain data.  ClearMetal was founded by top software engineers, data scientists, and operations researchers from Stanford University, Google, and Silicon Valley and is funded by Eclipse Ventures, Prelude Ventures, Innovation Endeavors, NEA, SAP.io, Prologis, PSA Unboxed, DCLI, and the founders of GT Nexus, Navis, and Uber Freight.  For more information visit www.clearmetal.com.",,https://www.clearmetal.com/,,"Software, Transportation",,Series A,31,M&A,4,2020,Series A,5,,,,31000000,31000000,Was Acquired,4,project44,https://www.crunchbase.com/organization/project44,,Acquisition,,2021,,Private,,,,,500000,,7,,,,,,,,,,1000000,16129.03226,,,,,,"Supply Chain Management, Logistics, Transportation",Technology & Software,,Cellectar Biosciences,,,,,,,,,,,59,,,,,,,,,,,,,,,,,,,,,,1,,,12,,103000000,103000000,141193500,148511985,,2,,,1,,,,,,,,,,,,11,11,-10,,,,,,,,,,,,9363636.364,13501089.55,1.090909091,,,Yes
